contig ID,length,best subject sequence ID,taxonomy,percentage of identitcal matches,e-value,alignment length,number of mismatches,number of gap openings,start of alignment in query,end of alignment in query,start of alignment in subject,end of alignment in subject,bitscore
k141_102719,481,AXH77573.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",59.5,1.10E-46,153,60,1,22,480,263,413,196.1
k141_103119,930,YP_009336839.1 hypothetical protein 2 [Wenzhou picorna-like virus 29],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wenzhou picorna-like virus 29",48.9,1.10E-74,311,149,3,928,2,143,445,290
k141_103258,1057,AXH76320.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",43.5,9.20E-25,138,74,1,1052,639,88,221,124.4
k141_103700,791,AXH76320.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",36.9,4.90E-23,179,93,4,533,3,12,172,118.2
k141_104696,7053,YP_337906.1 replicase [Breda virus],"root,Viruses,Riboviria,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,Renitovirus,Bovine torovirus,Breda virus,Breda virus serotype 1",85.5,0.00E+00,1475,209,1,1,4425,2976,4445,2540
k141_104742,301,"AWB14660.1 RdRP, partial [Murine picobirnavirus 1]","root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Murine picobirnavirus 1",65.9,2.20E-24,88,30,0,8,271,1,88,121.3
k141_104782,1710,ANS53885.1 RNA-dependent RNA polymerase [Picobirnavirus wolf/PRT/416/2015],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus wolf/PRT/416/2015",62.7,5.80E-202,526,194,2,97,1671,9,533,713.8
k141_104966,602,"AIB06801.1 RNA-dependent RNA polymerase, partial [Fox fecal picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Fox fecal picobirnavirus",83.2,9.40E-91,185,31,0,600,46,331,515,342.8
k141_10502,888,AVX53734.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",33.3,2.30E-37,300,187,3,886,23,261,559,166
k141_105158,1239,AWK77871.1 nonstructural polyprotein [Robinvale bee virus 1],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Robinvale bee virus 1",72.6,4.20E-170,412,113,0,2,1237,324,735,607.4
k141_105385,316,AWK02672.1 polyprotein [Niviventer confucianus hunnivirus],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Hunnivirus,unclassified Hunnivirus,Niviventer confucianus hunnivirus",72.4,8.30E-38,105,29,0,1,315,1287,1391,166
k141_10539,643,"BAJ53293.1 RNA dependent RNA polymerase, partial [Human picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,Human picobirnavirus",61.9,3.50E-67,215,79,2,3,641,20,233,264.6
k141_105797,378,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",59.4,1.90E-17,101,34,3,305,3,1,94,98.6
k141_106050,545,AXF52480.1 Ig domain protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",31.3,5.80E-15,198,104,4,537,13,4,192,90.9
k141_106079,442,AXF52780.1 internal scaffolding protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",71.4,2.30E-33,98,28,0,440,147,48,145,151.8
k141_106159,889,"AXL64616.1 RNA-dependent RNA polymerase protein, partial [Chicken picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Chicken picobirnavirus",65,1.10E-90,254,83,2,761,3,5,253,343.2
k141_106955,332,BBJ35804.1 RNA-dependent RNA polymerase [Apple stem pitting virus],"root,Viruses,Riboviria,Tymovirales,Betaflexiviridae,Quinvirinae,Foveavirus,Apple stem pitting virus",78.2,5.40E-40,110,24,0,330,1,628,737,173.3
k141_106996,892,YP_054423.1 p2 protein [Humulus japonicus latent virus],"root,Viruses,Riboviria,Bromoviridae,Ilarvirus,Humulus japonicus latent virus",49,1.60E-17,98,50,0,297,4,353,450,100.1
k141_107325,435,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",66,2.50E-53,144,49,0,2,433,1099,1242,218
k141_107401,4437,YP_009553600.1 nonstructural polyprotein [Blackbird arilivirus],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Blackbird arilivirus",37.8,1.90E-196,1176,632,21,779,4093,1083,2229,696.8
k141_107408,520,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",63.1,2.10E-54,157,57,1,47,517,1087,1242,221.9
k141_1075,2813,"AVX53597.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",52.5,4.80E-145,528,227,9,1216,2775,33,544,525.4
k141_107952,2120,YP_009333146.1 RNA-dependent RNA polymerase [Beihai narna-like virus 26],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai narna-like virus 26",28.5,1.70E-46,526,312,15,97,1602,1,486,197.6
k141_108128,409,ART66802.1 ORF2 [Bat Middle East Hepe-Astrovirus],"root,Viruses,Riboviria,unclassified Riboviria,unclassified ssRNA viruses,unclassified ssRNA positive-strand viruses,Bat Middle East Hepe-Astrovirus",47.4,1.90E-26,135,68,2,406,2,150,281,128.6
k141_108153,2588,"AVX53597.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",39.4,2.60E-89,535,302,10,1647,58,26,543,340.1
k141_108170,559,YP_009551627.1 putative RNA-dependent RNA polymerase [Melon partitivirus],"root,Viruses,Riboviria,Partitiviridae,unclassified Partitiviridae,Melon partitivirus",69.7,7.40E-74,185,56,0,4,558,273,457,286.6
k141_108336,2608,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",40.3,9.70E-100,596,299,16,1737,31,1,566,374.8
k141_10874,367,AWD93021.1 hypothetical protein HSE3_gp069 [Bacillus phage vB_BceM-HSE3],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Bacillus phage vB_BceM-HSE3",42,7.40E-06,81,41,2,341,102,81,156,60.1
k141_109221,1602,AVX53248.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",64,8.90E-205,536,184,5,8,1597,1,533,723
k141_109607,719,"BAJ53294.1 RNA dependent RNA polymerase, partial [Human picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,Human picobirnavirus",74,3.70E-94,227,59,0,37,717,261,487,354.4
k141_109742,361,AXF52523.1 ribonucleotide-diphosphate reductase subunit [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",49.2,1.60E-21,124,51,4,359,3,398,514,112.1
k141_109908,1734,AVX53281.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",63.6,1.10E-221,572,185,3,1700,39,1,567,779.2
k141_109921,709,AVX53270.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",66.4,1.00E-83,235,79,0,1,705,17,251,319.7
k141_110022,347,APA29021.1 polyprotein [Picornaviridae sp. rodent/Rn/PicoV/SX2015_2],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Hunnivirus,unclassified Hunnivirus,Picornaviridae sp. rodent/Rn/PicoV/SX2015_2",73,1.20E-42,115,31,0,346,2,542,656,182.2
k141_110759,463,ALS03440.1 VP4 [Gokushovirus WZ-2015a],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Gokushovirus WZ-2015a",47,3.40E-32,164,70,2,22,462,92,255,147.9
k141_11098,315,AXF38744.1 RNA-dependent RNA polymerase [Shelduck picobirnavirus I],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Shelduck picobirnavirus I",72.1,1.40E-37,104,29,0,1,312,136,239,165.2
k141_111023,594,QBJ04615.1 spike protein [Torovirus sp.],"root,Viruses,Riboviria,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,unclassified Torovirus,Torovirus sp.",96.5,3.30E-96,198,7,0,594,1,953,1150,360.9
k141_111251,1500,"AVX53826.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",35.8,1.60E-09,123,78,1,389,21,17,138,74.3
k141_11148,290,YP_009329823.1 structural protein [Bivalve RNA virus G5],"root,Viruses,Riboviria,Picornavirales,Dicistroviridae,unclassified Dicistroviridae,Bivalve RNA virus G5",64.2,4.20E-28,95,33,1,290,6,587,680,133.7
k141_111517,3137,YP_009407949.1 RNA-dependent RNA polymerase [Myrmica scabrinodis virus 1],"root,Viruses,Riboviria,Picornavirales,Polycipiviridae,Sopolycivirus,Myrmica scabrinodis virus 1",99.9,0.00E+00,1040,1,0,3135,16,1246,2285,2149.4
k141_111746,375,"BBC20586.1 capsid protein, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",52,2.20E-29,125,60,0,375,1,148,272,138.3
k141_111799,1814,YP_009337385.1 RNA-dependent RNA polymerase [Changjiang narna-like virus 4],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Changjiang narna-like virus 4",31.6,2.40E-20,313,167,8,612,1463,609,903,110.5
k141_111949,304,"AWA82278.1 putative RNA-dependent RNA polymerase, partial [Ditton virus]","root,Viruses,Riboviria,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,Phasmaviridae,unclassified Phasmaviridae,Ditton virus",78.2,1.20E-38,101,22,0,2,304,1029,1129,168.7
k141_112208,520,ALS03631.1 VP1 [Gokushovirus WZ-2015a],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Gokushovirus WZ-2015a",42.4,7.50E-28,165,83,3,493,2,5,158,133.7
k141_112336,1146,YP_007111575.1 replicase beta subunit [Enterobacteria phage M],"root,Viruses,Riboviria,Leviviridae,Levivirus,unclassified Levivirus,Enterobacteria phage M",39.4,8.50E-16,132,79,1,396,1,220,350,94.7
k141_112875,1427,YP_009505615.1 polyprotein [Kunsagivirus A],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Kunsagivirus,Kunsagivirus A",81.4,2.20E-223,474,86,1,1426,5,1004,1475,784.6
k141_113745,4025, AltName: Full=RNA replicase beta chain,"root,Viruses,Riboviria,Leviviridae,Levivirus,Escherichia virus MS2,Enterobacteria phage fr",30.2,3.40E-19,338,192,11,2432,3394,101,411,107.8
k141_113895,906,APA29021.1 polyprotein [Picornaviridae sp. rodent/Rn/PicoV/SX2015_2],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Hunnivirus,unclassified Hunnivirus,Picornaviridae sp. rodent/Rn/PicoV/SX2015_2",70.5,4.10E-114,285,80,2,62,904,1041,1325,421
k141_113920,2338,AVX53371.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",46.1,1.20E-117,527,251,11,848,2335,30,554,434.1
k141_11392,479,ASG92546.1 putative structural protein [Picornavirales Q_sR_OV_023],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales Q_sR_OV_023",61.9,1.50E-46,160,60,1,1,477,282,441,195.7
k141_114104,362,AXF52782.1 DNA pilot protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",76.1,5.40E-17,71,17,0,362,150,149,219,97.1
k141_114469,768,XP_021516436.1 endogenous retrovirus group FC1 Env polyprotein-like isoform X1 [Meriones unguiculatus],"root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones unguiculatus",67.1,7.80E-82,222,71,1,672,7,89,308,313.5
k141_114912,343,ALS03560.1 VP1 [Gokushovirus WZ-2015a],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Gokushovirus WZ-2015a",48.1,5.80E-21,108,53,2,1,324,118,222,110.2
k141_115237,353,AVX53282.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",60.9,4.30E-19,69,27,0,115,321,265,333,104
k141_115558,426,AXF52639.1 replication protein [Inoviridae sp.],"root,Viruses,Inoviridae,unclassified Inoviridae,Inoviridae sp.",39.6,1.20E-12,91,55,0,282,10,12,102,82.8
k141_115602,410,AYP68642.1 DNA ligase [Exiguobacterium phage vB_EalM-132],"root,Viruses,Caudovirales,Herelleviridae,Spounavirinae,unclassified Spounavirinae,Exiguobacterium phage vB_EalM-132",31.2,1.20E-07,112,55,2,45,380,172,261,66.2
k141_115771,304,"AVX53567.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",51.7,2.70E-14,87,36,1,6,266,50,130,87.8
k141_115977,1997,ASM93466.1 RdRp [Porcine picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Porcine picobirnavirus",80.9,6.30E-224,450,86,0,583,1932,1,450,786.9
k141_11619,333,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",68.5,1.10E-35,111,34,1,1,333,868,977,159.1
k141_116363,350,AVX53625.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",35.8,6.80E-09,120,58,4,347,18,448,558,70.1
k141_116925,372,"BAR35576.1 phage terminase, large subunit, PBSX family (TIGR01547) [uncultured Mediterranean phage uvMED]","root,Viruses,Caudovirales,Siphoviridae,environmental samples,uncultured Mediterranean phage uvMED",48.9,1.90E-12,90,42,2,297,28,1,86,82
k141_116965,342,AXF52474.1 hypothetical protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",57,8.70E-33,114,49,0,1,342,41,154,149.4
k141_11716,594,"AVX53819.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",52.5,1.60E-37,181,79,4,593,63,257,434,166
k141_117529,5216,AXF52781.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",70.2,2.50E-38,104,31,0,3,314,449,552,171.8
k141_117676,2990,YP_009551567.1 methyltransferase-helicase [Tea plant line pattern virus],"root,Viruses,Riboviria,Bromoviridae,Ilarvirus,unclassified Ilarvirus,Tea plant line pattern virus",48.1,1.70E-265,1017,495,14,2986,2,1,1006,925.6
k141_117704,322,AWY06876.1 peptidase G2 [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",79.5,3.70E-33,88,18,0,322,59,499,586,150.6
k141_117770,533,AXH74625.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",53.9,2.10E-38,154,64,3,533,75,459,606,168.7
k141_118374,2579,"AVX53417.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",49.1,2.30E-117,475,220,9,1052,2437,1,466,433.3
k141_118471,1379,AXY86062.1 putative DNA ligase [Escherichia phage vB_EcoM_IME392],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Escherichia phage vB_EcoM_IME392",31.7,9.50E-38,375,230,12,274,1356,9,371,167.9
k141_118549,565,YP_009333146.1 RNA-dependent RNA polymerase [Beihai narna-like virus 26],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai narna-like virus 26",32.3,2.10E-12,155,88,4,461,21,7,152,82.4
k141_118751,581,YP_009333242.1 RdRp [Beihai charybdis crab virus 1],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai charybdis crab virus 1",29.3,2.10E-07,205,125,6,572,3,1180,1379,65.9
k141_119066,1074,ASG92546.1 putative structural protein [Picornavirales Q_sR_OV_023],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales Q_sR_OV_023",65.1,4.70E-125,364,113,5,1,1074,192,547,457.6
k141_119095,2032,AVD54024.1 capsid [Macaque picobirnavirus 1],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Macaque picobirnavirus 1",35.6,6.50E-59,390,231,7,871,2013,58,436,238.8
k141_119278,1472,AXQ66150.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",36.7,1.90E-60,357,205,6,1064,18,1,344,243.4
k141_119402,900,"AMQ23539.1 replicase, partial [Leviviridae sp.]","root,Viruses,Riboviria,Leviviridae,unclassified Leviviridae,Leviviridae sp.",31.4,4.50E-20,290,172,11,802,5,96,382,108.6
k141_119727,3237,YP_009333365.1 RNA-dependent RNA polymerase [Wuhan pillworm virus 1],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wuhan pillworm virus 1",61.3,0.00E+00,1073,408,4,3202,2,1,1072,1288.1
k141_120,937,ALS03497.1 VP4 [Gokushovirus WZ-2015a],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Gokushovirus WZ-2015a",52.7,3.50E-52,201,75,3,555,4,16,213,215.3
k141_120197,407,YP_009337018.1 hypothetical protein [Hubei picorna-like virus 48],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei picorna-like virus 48",66.7,1.10E-29,99,32,1,1,294,2835,2933,139.4
k141_120730,756,AVX53281.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",54.9,7.00E-67,233,103,2,35,730,1,232,263.8
k141_120946,540,QCE20587.1 nonstructural protein [Melipona quadrifasciata virus 1a],"root,Viruses,Riboviria,unclassified Riboviria,Melipona quadrifasciata virus 1a",60.8,1.70E-54,176,68,1,537,13,1646,1821,222.2
k141_121121,1680,"AIB06801.1 RNA-dependent RNA polymerase, partial [Fox fecal picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Fox fecal picobirnavirus",69.4,4.50E-223,529,149,2,79,1665,1,516,783.9
k141_121854,2356,AXI69836.1 putative RNA-dependent RNA polymerase [Sclerotinia sclerotiorum mitovirus 6],"root,Viruses,Riboviria,Narnaviridae,Mitovirus,unclassified Mitovirus,Sclerotinia sclerotiorum mitovirus 6",31.9,1.70E-34,386,217,11,1738,632,181,537,157.9
k141_122338,549,YP_009389484.1 RNA-dependent RNA polymerase [Picobirnavirus dog/KNA/2015],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus dog/KNA/2015",63.1,1.60E-57,176,65,0,14,541,1,176,232.3
k141_122605,738,YP_009223720.1 putative terminase large subunit [Geobacillus virus E3],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Geobacillus virus E3",44.5,1.90E-45,245,134,2,735,1,68,310,192.6
k141_122647,415,AXH74539.1 putative tail protein [CrAssphage sp.],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,CrAssphage sp.",50,2.30E-11,84,37,3,245,3,154,235,78.6
k141_122896,384,YP_009329995.1 hypothetical protein 1 [Hubei sobemo-like virus 47],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei sobemo-like virus 47",42.2,2.10E-11,102,49,3,101,382,90,189,78.6
k141_123129,455,AXH77733.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",93.5,1.30E-68,123,8,0,87,455,1,123,268.9
k141_123240,458,WP_120398184.1 caudovirus prohead protease [bacterium 1XD8-76],"root,cellular organisms,Bacteria,unclassified Bacteria,unclassified Bacteria (miscellaneous),bacterium 1XD8-76",98.2,2.60E-56,114,2,0,344,3,1,114,228
k141_123256,1553,QAA77647.1 RNA-dependent RNA polymerase [Kumba picobirna-like virus],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Kumba picobirna-like virus",35.2,4.80E-62,483,284,11,1480,47,159,617,248.8
k141_123660,2412,AVX53463.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",39.7,5.10E-79,456,235,11,1829,498,3,430,305.8
k141_123965,368,AXF52474.1 hypothetical protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",51.2,6.90E-28,123,57,1,366,7,124,246,133.3
k141_124006,498,YP_009551574.1 RNA-dependent RNA polymerase [Chicken picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Chicken picobirnavirus",49.1,1.30E-37,165,84,0,4,498,39,203,166
k141_124326,377,AXQ62744.1 hypothetical protein crAss001_101 [Bacteroides phage crAss001],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,Bacteroides phage crAss001",47.4,5.80E-06,57,30,0,377,207,13,69,60.5
k141_124645,670,AOW41968.1 capsid protein [Picobirnavirus sp.],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",35.8,3.70E-35,218,133,2,3,656,144,354,158.3
k141_124702,1259,AXF38746.1 capsid protein [Shelduck picobirnavirus I],"root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Shelduck picobirnavirus I",40.7,5.90E-79,428,205,9,1,1236,137,531,304.7
k141_125183,319,"AYC07824.1 coat protein, partial [Cocksfoot mottle virus]","root,Viruses,Riboviria,Solemoviridae,Sobemovirus,Cocksfoot mottle virus",67.6,4.00E-32,105,34,0,318,4,84,188,147.1
k141_125429,391,AFB75704.1 hypothetical protein 2011_scaffold13_00040 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",59.5,2.00E-33,131,48,3,3,383,8,137,151.8
k141_125979,573,YP_003969712.1 putative deoxynucleoside monophosphate kinase [Cafeteria roenbergensis virus BV-PW1],"root,Viruses,Mimiviridae,Cafeteriavirus,Cafeteria roenbergensis virus,Cafeteria roenbergensis virus BV-PW1",27.6,8.90E-06,116,81,1,52,399,64,176,60.5
